brand,price,title
Apple,414.99,Apple iPad Air 4 (2020) - All Sizes & Colours - Wi-Fi & Cellular 5G - Excellent
Samsung,29.99,Samsung Galaxy Tab 2 7.0 8GB GT-P3100 Wi-Fi +3G- Grey - Very Good
Microsoft,139.99,"Microsoft Surface Pro 4 Tablet Intel Cr m3-6Y30 12.3"" 4GB 128GB SSD W10P -Silver"
Huawei,79.99,Huawei MediaPad M1 8.0 Mixed Colours Very Good Condition
Apple,246.99,"Apple iPad mini 5th Gen Retina 64GB Wi-Fi+4G 7.9"" S.Grey A Grade Latest iOS 16"
Apple,189.99,Apple iPad Pro 9.7 - Wi-Fi/Wi-Fi + 4G - 32GB/128GB/256<wbr/>GB - Grey/Gold/Silv<wbr/>er
Apple,275,Apple iPad Air 3rd Generation 10.2 64GB/256GB Grey/Silver/Ro<wbr/>se Gold A Grade
Apple,165,"Apple iPad 6th Gen 32GB WiFi ONLY Retina Display 9.7"" Grey A Grade Apple Box"
Samsung,99.99,Samsung Galaxy Tab A (2016) 32GB 10.1 Inch Tablet Black - Wi-Fi and 4G Available
Apple,120,"iPad Air 2nd Generation – Apple – 9.7"" Display – WIFI – 2014 – 64GB - Space Grey"
Samsung,179.99,"Samsung Galaxy Tab S4 SM-T830 Tablet 10.5"" WiFi 4GB Ram 64GB 13MP Android -Black"
Apple,299,"Apple iPad Pro 2nd Gen - 12.9 inch - All Colours, 4G  - Grade C - (STD)"
Samsung,64.99,"Samsung Galaxy Tab A 9.7, SM-T550, 16GB, Smoky Titanium - Excellent"
Samsung,59.99,"Samsung Galaxy Tab A 7-Inch 8GB Android, 2xCamera ,SM-T280 / SM-T285 - Black"
Lenovo,99.99,Lenovo Tab M7 Mixed Colours Good Condition
Black,50,Apple iPad 2 (2011) - Black - 16GB- WiFi (Unlocked) Mobile Tablet iOS 9
Apple,84.99,Apple iPad Air 1st Generation 16GB 32GB 64GB Wi-Fi  Very Good Condition 
Samsung,99.99,"Samsung Galaxy Tab A SM-T585 10.1"" WI-FI+4G (Unlock) 32GB Android Tablet - Black"
Apple,479.99,"Apple iPad 10th Gen 10.9"" 2022 - 64GB Wi-Fi & Cellular 5G - Unlocked - Blue"
HP,109,HP ElitePad 1000 G2 Atom Z3795 4G SIM SLOT 4GB 64GB SSD Windows 10 Pro (Grade A)
Samsung,79.99,"Samsung GalaxyNote SM-P600 10.1"" WiFI 16GB 3GB Android Black Tablet with Stylus "
Apple,189.99,"NEW SEALED Apple iPad 6th Gen (2018) 32GB 128GB WiFi/4G 9.7"" All Colours Boxed"
Apple,139,"iPad 5th Generation – Apple – 9.7"" Display – Wifi – 2017 - 32GB - Space Grey"
Apple,59,Apple iPad Mini 2 - All Colours - WiFi + 4G - Grade A -(STD)
Apple,264.99,"NEW SEALED Apple iPad 7th Gen (2019) 32GB 128GB WiFi/4G 10.2"" All Colours Boxed"
Apple,169.99,"Apple iPad 6th gen 2018/2019 9.7"" 32GB 128GB Wi-Fi or Wi-Fi + 4G EXCELLENT"
Apple,28.99,"Apple iPad Mini 1st Gen, 16GB, Wi-Fi - 7.9"" Screen, Very Good, Silver"
Samsung,82,Samsung Galaxy TAB S (2014) SM-T807T 10.1 in 16GB Wi-Fi (BRONZE) TABLET (A+)🔥
Samsung,82.94,"Samsung Galaxy Tab A 8"" (2019) Tablet - 32GB, WiFi - Black"
Acer,62,Acer Aspire Switch 10V 64GB + Tecknet Keyboard + Universal Stylus BUNDLE (A)🔥
Apple,69,"Apple iPad Air 1 128GB,32GB,64G<wbr/>B,16GB Unlocked,WiFi Gray,Silver-Go<wbr/>od"
Samsung,297.99,"Samsung Galaxy Tab S6 SM-T860 128GB, Wi-Fi, 10.5in - Mountain Grey EXC"
Microsoft,529.99,"Microsoft Surface Pro 8 13"" Tablet Core i5 8GB RAM 128GB SSD Platinum C Grade"
Samsung,59.99,Samsung Galaxy TAB E SM-T560 9.6  WI-FI 8GB 1.5GB MB Android Tablet - White
Samsung,39,Samsung Galaxy Tab 2 7.0 (2012) Mixed Colours Good Condition
Samsung,84.99,Samsung Galaxy Tab S2 SM-T813 (2015) 32GB WIFI 9.7 - VERY GOOD CONDITION
Apple,69.99,Apple iPad Mini 2nd Generation 16GB 32GB 64GB WIFI + 4G - Grade A Condition
blackview,32.99,"Blackview Tab 9 10.1"" 2 in1 Laptop Android Tablet PC 4+64GB GPS 5G WiFi Dual SIM"
Apple,219.99,Apple iPad Pro 1st Gen 12.9 32GB 128GB 256GB WiFi Cellular 4G iOS 15 GOOD USED
Apple,189.99,Apple iPad Pro 9.7in (2016) 32/128/256GB WiFi/4G All Colours EXCELLENT CONDITION
Apple,269.99,"Apple iPad 8th Gen. 32GB, Wi-Fi, 10.2 in - Space Grey"
Apple,149.99,"Apple iPad Air 2, (16GB /32GB /64GB /128GB) Wi-Fi, 9.7inch Model IOS 15 Latest"
Apple,169.99,"Apple iPad 6th Generation Tablet, 32GB, WiFi + GSM, Space Gray, A1954"
Apple,539.99,"Apple iPad Pro 11"" 2nd Gen 2020 128/256/512GB/<wbr/>1TB WiFi + 4G Unlocked Very Good"
Apple,129,Apple iPad Air 2 - All Colours - Wi-Fi + 4G -Grade A - (STD)
Lenovo,99.99,"Lenovo Tab M10 Mediatek Helio P22T 4Gb 64Gb eMCP 10.1"" HD Android 10 ZA6W0137GB"
Apple,229.99,Apple iPad mini 5 (2019) 7.9 Inch Cellular 64GB IOS - Space  Grey
Lenovo,69.99,"Lenovo Tab M7 7"" HD Ready 2GB RAM 32GB Android WiFi Tablet Grey"
Apple,169.99,"Apple iPad 6 2018 6th Gen 32/128GB WiFi/4G 9.7"" All Colours GOOD CONDITION"
ASUS,94.99,"Asus ZenPad 3S P001 64GB,  WiFi 9.7 inch, Silver - Very Good"
ASUS,29.99,"Asus Google Nexus 7 ME370T - Black, Good Used"
Apple,464.99,Apple iPad Air 4 (2020) - All Sizes & Colours - Wi-Fi & Cellular 5G - Very Good
Samsung,39,Samsung Galaxy Note 10.1 (2012) Mixed Colours Very Good Condition
Apple,114.98,Apple iPad Mini 4 16GB Wi-Fi Cellular 4G Space Grey Retina Slim Tablet A1550 C1
Samsung,34.99,"Samsung Galaxy Tab 2 7.0 8GB GT-P3110 Wi-Fi - Grey , Very Good"
Samsung,79.99,Samsung Galaxy Tab A6 SM-T580 (2016) 16GB/32GB 10.1 BLACK - GOOD CONDITION
Samsung,89,Samsung Galaxy Note 10.1 (2014) Mixed Colours Very Good Condition
Acer,49,"Acer Aspire Switch 10 Laptop SW5-012 10.1"" 64GB Quad-Core 1.33GHz WIN 10 PRO! A+"
Apple,174.99,Apple iPad 6th Generation 32GB 128GB Wi-Fi  Various Colours Very Good Condition 
Apple,239.99,"Apple iPad 7th Gen (2019) - 32GB/128GB, Wi-Fi, 10.2 in - Space Grey/Silver/Go<wbr/>ld"
Apple,154.99,"Apple iPad 5th Generation 32/128GB, Wi-Fi, 9.7in, ALL COLOURS EXCELLENT"
Apple,369.99,"Apple iPad 9th Gen 10.2"" 2021 - 64GB Wi-Fi & Cellular 5G - Unlocked - Space Grey"
Amazon,99.99,"Amazon Fire HD 8 Tablet, 32GB Kids Edition, 8-Inch - Blue"
Apple,270,"Apple iPad 8th Generation 32GB WiFi ONLY 10.2"" 2020 Silver A+ Grade Apple Box"
Apple,154.99,"Apple iPad 6th Gen 32GB Wi-Fi + 4G Cellular Unlocked 9.7"" Good Condition"
Apple,219.99,"Apple iPad Mini 4 16/32/64/128GB WiFi/4G 7.9"" All Colours - EXCELLENT CONDITION"
Dell,259.99,"Dell Latitude 5290 Tablet, Intel® Core i5, 8GB RAM, 256GB SSD, Black, Windows 10"
Lenovo,74.99,"Lenovo TAB M10 HD Tablet (TB-X505F), 10.1"", 16GB, Wi-Fi, Black - Excellent"
Samsung,189.99,"Samsung Galaxy Note pro SM-P900 12.2"" 32GB 3GB Ram Android Tablet - Black"
Samsung,39.99,"Samsung Galaxy Tab 4 SM-T230 8GB, Wi-Fi, 7in, 2x Camera, Android Tablet - Black"
Apple,479.99,"Apple iPad 10th Gen 10.9"" 2022 - 64GB Wi-Fi & Cellular 5G - Unlocked - Silver"
Apple,73,Apple iPad Mini 2 2nd Gen 16GB 32GB 64GB 128GB Space Grey Silver | Very Good
Apple,47,Apple iPad 4th Gen (2012) Mixed Colours Very Good Condition
Apple,144.99,"Apple iPad Pro 32/128/256GB, Wi-Fi or 4G - 9.7in-VARIOUS COLOURS, Good Used"
Amazon,49.99,"Amazon Fire HD 10 5th Gen 16 GB, Wi-Fi, 10.1 in White Tablet -Good Used"
Lenovo,44.99,"Lenovo Tab M7 17.8 cm (7"") 32 GB Android Grey Tablet"
Lenovo,99.99,"Lenovo Tab M10 64 GB 10.1"" Android 10 - Grey Tablet"
Apple,119.99,Apple iPad Mini 4 16GB 32GB 64GB 128GB Space Grey Gold Silver WiFi Good
Apple,159.99,Apple iPad Air 2 - 16GB/128GB - Silver/Grey - WiFi/Cellular - iPadOS 15 - Tablet
Apple,189.99,Apple iPad 5th Generation 32GB 128GB Wi-Fi  Various Colours Excellent Condition
Samsung,84.99,"Samsung Galaxy Tab A 10.1"" (2016) SM-T580 Various Colours+GB - Good Used"
Lenovo,139.99,"Lenovo Tab M10 Plus (3rd Gen) 10.6"" - 128 GB Android Grey Tablet"
Apple,59.99,Apple iPad Air 1st  Generation 16 GB Wifi 9.7”Space Grey Original Apple Box
Apple,109,"iPad Air 2nd Generation – Apple – 9.7"" Display – Wifi – 2014 – 16GB - Space Grey"
Lenovo,179.99,"Lenovo Tab P11 Plus 27.9 cm (11"") 128 GB Android Grey Tablet"
Apple,179.99,"Apple iPad 6th Gen 9.7"" 32GB Wi-Fi Space Grey Very Good Reconditioned Condition"
Lenovo,109.99,Lenovo Tab M7 Mixed Colours Very Good Condition
Microsoft,139.99,Microsoft Surface Pro 4 - Intel Core M3-6Y30- 4GB RAM - 128GB SSD
Apple,129.99,"Apple iPad Air 2 (16GB /32GB /64GB /128GB) Wi-Fi + Cellular , 9.7inch "
Apple,374.99,Apple iPad 9th Gen (2021) - All Sizes & Colours - Wi-Fi Only - Very Good 
Apple,159.99,"Apple iPad Pro 32/128/256GB, Wi-Fi or 4G - 9.7in-VARIOUS COLOURS, Excellent"
Apple,344.99,Apple iPad Pro 12.9 (1st Gen) - All Sizes & Colours - 4G - Unlocked - Good
Lenovo,69.99,"Lenovo Tab M10 Tablet 10.1"" HD 2Gb Black 16Gb Android ZA4G0109GB"
Apple,49.99,"Apple iPad 4, 9.7"", Wi-Fi + 3G, Space Grey, 16GB, A1460"
Alcatel,34.99,ALCATEL ONETOUCH PIXI 7 I213 2GB Tablet
Apple,274.99,Apple iPad Pro 10.5 (2017) - All Sizes - All Colours - 4G - Unlocked - Good
Lenovo,99.99,"Lenovo Tab M10 Tablet 32Gb 10.1"" HD 4G Black Android ZA5A0010GB"
Apple,146.99,"Apple iPad 5 2017 5th Gen 32 WiFi/4G 9.7"" Silver  EXCELLENT CONDITION ios"
Microsoft,209.99,"Microsoft Surface Pro 4 Core i5-6300U 8GB Ram 256GB SSD Windows 11 12.3"" Tablet"
Lenovo,89.99,"Lenovo Tab M10 Tablet 32Gb 10.3"" FHD+ Mediatek P22 2Gb Wi-Fi 5 Grey"
Apple,624.99,Apple iPad Air 5 (2022) - All Sizes - All Colours - Wi-Fi - Excellent Condition
Samsung,89.99,"Samsung Galaxy Note SM-P600 10.1"" WiFI 16GB 3GB Android with Stylus- White/Black"
Lenovo,69.99,"Lenovo Tab M7 Tablet Mediatek MT8166 2Gb 32Gb eMCP 7"" Android 11 ZA8C0075GB Grey"
Microsoft,124.99,"Microsoft Surface Pro - Core i5, 128GB 4GB RAM, Wi-Fi, 10.6in, Dark - Good"
Apple,159.99,"Apple iPad Pro 9.7"" (2016), Wi-Fi + 4G, Space Grey, 32GB, A1674"
Apple,1059.99,Apple iPad Pro 11in 3rd Gen 2021 - All Colours All Sizes 5G Unlocked - Good
Apple,1109.99,Apple iPad Pro 5 (2021) - All sizes - 12.9in - Silver/Grey - Wi-fi - Very Good
Samsung,49,"Samsung Galaxy Tab 4 Nook Edition Tablet 7"" 8GB WiFi  Black SM-T230NU Grade B"
Apple,189.99,"Apple iPad 6 2018 6th Gen 32/128GB WiFi/4G 9.7"" All Colours EXCELLENT CONDITION"
TCL,79.99,"TCL TAB 10 10.1"" Dark Grey 32GB 4G Tablet 9160G1-2CLCGB1<wbr/>1"
Apple,644.99,Apple iPad Mini 6 (2021) - All Sizes - All Colours - WiFi + 5G - Unlocked - Good
Intel,225,Bundle - Microsoft Surface Pro 3 1631 i5-4300U 8GB 256GB Win10P Grade A + Case
Apple,1349.99,Apple iPad Pro 6 12.9 (2022) - All Sizes - All Colours - Wi-Fi Only - Excellent
Samsung,284.99,"Samsung Galaxy Tab S6 SM-T860 128GB, Wi-Fi, 10.5in - Rose Blush"
Apple,484.99,Apple iPad Mini 6 (2021) - All Sizes - All Colours - Wi-Fi Only - Very Good
Apple,339.99,Apple iPad 8 2020 - 32GB/128GB - 10.2in - 4G Unlocked - All Colours - Good
Samsung,319.99,"Samsung Galaxy Tab S6 SM-T860 256GB, Wi-Fi, 10.5in - Mountain Grey"
Amazon,109,Amazon Fire HD 10 Tablet (11th Generation) 32GB with 3GB RAM 2021 release
Samsung,324.99,"Samsung Galaxy Tab S7 FE SM-T733N 64GB, Wi-Fi, 12.4"" - Mystic Green"
Apple,534.99,Apple iPad Mini 6 (2021) - All Sizes - All Colours - Wi-Fi Only - Excellent
Intel,169.5,⚡⚡Microsoft Surface Pro 3 1631 Core i5-4300U 8GB 256GB Win 10 Pro Grade A⚡⚡
Apple,119,"iPad Air 2nd Generation – Apple – 9.7"" Display – Wifi – 2014 – 16GB - Space Grey"
Apple,119,"iPad Air 2nd Generation – Apple – 9.7"" Display – Wifi – 2014 – 32GB - Space Grey"
Amazon,49.99,Amazon Fire HD 8 Tablet 10th Generation Full HD Display 32GB (2020 Release)
Apple,414.99,Apple iPad Air 4 (2020) - All Sizes & Colours - Wi-Fi & Cellular 5G
Samsung,309.99,"Samsung Galaxy Tab S6 SM-T860 256GB, Wi-Fi, 10.5in - Mountain Grey"
Samsung,134.99,"Samsung Galaxy Tab S3 SM-T820 / T825 9.7"" Tablet - Silver /Black"
Apple,169.99,"Apple iPad 6 Silver 32GB WiFi 9.7"" 6th Gen 2018 Retina Warranty iPadOS 15"
Microsoft,299.99,"Microsoft Surface Pro7 Windows11 12"" Tablet Intel i3 1005G1 1.2Ghz 4GB 128GB SSD"
Huawei,319.99,"Huawei Matepad 11 10.95"" QHD 6GB/128GB Tablet Grey M-pencil & Keyboard"
Intel,198,⚡⚡Microsoft Surface Pro 3 Intel Core i5-4300U 8GB 256GB Win 10 Pro Grade A+⚡⚡
Apple,160,"iPad 6th Generation – Apple – 9.7"" Display – Wifi – 2018 - 32GB - Space Grey"
Alcatel,59.99,"Alcatel 1T10 WI-FI Tablet 10.1"" HD 1Gb Black 16Gb Android 8092-2AALG"
Apple,159.89,"Apple iPad 6th Generation 2018 9.7"" 32GB WiFi + 4G - Very Good Condition"
Lenovo,89.99,"Lenovo Tab M10 Tablet 32Gb 10.1"" HD Black Android 2Gb ram ZA4G0034GB"
Samsung,334.99,"Samsung Galaxy Tab S7 FE SM-T733N 64GB, Wi-Fi, 12.4"" - Mystic Green"
Apple,544.99,Apple iPad Pro 11in 2nd Gen 2020 All Sizes/Colours Wi-fi Only - Good Condition
Apple,74.99,"Apple iPad Air, Wi-Fi /4G, Space Grey/Silver, 9.7"", 16/32/64/128gb"
